,length,width,curb-weight,engine-size,horsepower,city-L/100km,highway-L/100km,wheel-base,bore,price,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_isuzu,make_jaguar,make_mazda,make_mercedes-benz,make_mercury,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_renault,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo,drive-wheels_fwd,drive-wheels_rwd
0,-0.43961625239772656,-0.8550079479023416,2548,130,111,11.190476190476188,8.703703703703704,88.6,3.47,16500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-0.2452391326935075,-0.1892620485345436,2823,152,154,12.36842105263158,9.038461538461537,94.5,2.68,16500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0.19210938664099006,0.1436109011493554,2337,109,102,9.791666666666666,7.833333333333332,99.8,3.19,13950.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0.19210938664099006,0.2387174582018989,2824,136,115,13.055555555555555,10.681818181818182,99.4,3.19,17450.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.2488027132213892,0.1911641796756238,2507,136,110,12.36842105263158,9.4,99.8,3.19,15250.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,1.4960558979901382,2.6163813845154533,2844,136,110,12.36842105263158,9.4,105.8,3.19,17710.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,1.4960558979901382,2.6163813845154533,2954,136,110,12.36842105263158,9.4,105.8,3.19,18920.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,1.4960558979901382,2.6163813845154533,3086,131,140,13.823529411764708,11.75,105.8,3.13,23875.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,0.2083074799496765,-0.5221349982184426,2395,108,101,10.217391304347826,8.103448275862071,101.2,3.5,16430.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0.2083074799496765,-0.5221349982184426,2395,108,101,10.217391304347826,8.103448275862071,101.2,3.5,16925.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,0.2083074799496765,-0.5221349982184426,2710,164,121,11.190476190476188,8.392857142857142,101.2,3.31,20970.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0.2083074799496765,-0.5221349982184426,2765,164,121,11.190476190476188,8.392857142857142,101.2,3.31,21105.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,1.1963911717794653,0.4764838508332544,3055,164,121,11.75,9.4,103.5,3.31,24565.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,1.1963911717794653,0.4764838508332544,3230,209,182,14.6875,10.681818181818182,103.5,3.62,30760.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,1.5851454111879084,0.9520166360959652,3380,209,182,14.6875,10.681818181818182,103.5,3.62,41315.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,1.8443149041268685,2.378614991884098,3505,209,182,15.666666666666664,11.75,110.0,3.62,36880.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,-2.683052175650611,-2.6620325319006417,1488,61,48,5.0,4.433962264150943,88.4,2.91,5151.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,-1.4843932708079144,-1.0927743405336936,1874,90,70,6.184210526315789,5.465116279069767,94.5,3.03,6295.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,-1.2495209178319804,-1.0927743405336936,1909,90,70,6.184210526315789,5.465116279069767,94.5,3.03,6575.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,-1.3710066176471185,-0.9976677834811536,1876,90,68,6.351351351351353,5.7317073170731705,93.7,2.97,5572.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,-1.3710066176471185,-0.9976677834811536,1876,90,68,7.580645161290323,6.184210526315789,93.7,2.97,6377.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,-1.3710066176471185,-0.9976677834811536,2128,98,102,9.791666666666666,7.833333333333332,93.7,3.03,7957.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,-1.3710066176471185,-0.9976677834811536,1967,90,68,7.580645161290323,6.184210526315789,93.7,2.97,6229.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,-1.3710066176471185,-0.9976677834811536,1989,90,68,7.580645161290323,6.184210526315789,93.7,2.97,6692.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
